GaiaDR3,Name,Prob
5788969303392994048,Theia_29,1.0
988781052989337472,Alessi_84,1.0
161519155768607872,HSC_1368,0.887490961740651
334700758360689792,UPK_303,0.545954809918623
987335607515837568,Alessi_84,1.0
4795972314797286784,HSC_1986,0.757464706192159
5573535010835058304,HSC_1923,1.0
3372781540596882688,Theia_792,0.500274170165094
5503949359454510208,CWNU_1144,1.0
5536809162106730112,NGC_2451A,0.507022454441952
1766193807424867968,HSC_598,0.974003268281489
48988126397709440,OCSN_50,0.97934140595566
5393993351954648832,HSC_2303,0.738537779130609
990028032321723136,Alessi_84,0.796061697148852
4164003576971025792,HSC_95,0.992964429435972
4169381524552053760,Mamajek_2,1.0
5201355444434076416,Chamaleon_I,0.542941877974593
211286797255651584,OCSN_49,0.892974457267098
5538516699365851008,NGC_2451A,0.572852326240423
3283532463780612224,HSC_1426,0.722259130817813
5301031263033526912,CWNU_515,1.0
664858016845022208,NGC_2632,0.339025658317841
786143602610706816,HSC_1137,1.0
215872443640723456,OCSN_49,0.76773527892954
5563279938898640768,CWNU_1144,0.914800134981225
214291350215544704,OCSN_49,0.653868642827091
987331518706989568,Alessi_84,1.0
610086944617465088,NGC_2632,0.246358355334523
5586788871900086400,NGC_2451A,0.66745693432432
338431092075866112,UPK_303,0.59092928785264
